user_id,username,location,age,gender,preferences_x,preferences_y
1,113ayeaye,"Dubai, Emirate of Dubai",,,,"Pool, Internet, Beachfront, Shuttle Bus Service, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Accessible rooms, Minibar, Conference Facilities, Babysitting, Non-smoking hotel, Safe, Swimup Bar, Flatscreen TV, Breakfast Buffet, Poolside Bar, Butler Service, Outdoor pool, Private Beaches, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, Sauna, Additional Bathroom, Allergy-free Room, Arabic, ATM On Site, Baggage Storage, Bath / Shower, Bathrobes, Blackout Curtains, Bottled Water, Breakfast in the Room, Car Hire, Clothes Rack, Coffee Shop, Couples Massage, Currency Exchange, Doorperson, English, Entertainment Staff, Facial Treatments, Filipino, Fitness Classes, Fitness / Spa Locker Rooms, Foot Massage, Free Private Parking Nearby, Complimentary Instant Coffee, Complimentary Toiletries, French, 24-Hour Front Desk, Full Body Massage, German, Hair Dryer, Hammam, Head Massage, Hindi, Iron, Ironing Service, Kid-Friendly Buffet, Laptop Safe, Massage, Newspaper, Nightclub / DJ, Pool / Beach Towels, Pool with View, Portuguese, Paid Private Parking On-site, Paid Private Parking Nearby, Paid Public Parking Nearby, Paid Public Parking On-site, Russian, Salon, 24-Hour Security, Secured Parking, Shoeshine, Shops, Snack Bar, Soundproof Rooms, Steam Room, Sun Loungers / Beach Chairs, Sun Umbrellas, Taxi Service, Turkish, VIP Room Facilities, Wake Up Service / Alarm Clock, Wine / Champagne, Kids pool, Air Purifier, Children's Playground, Electric Kettle, First Aid Kit, Highchairs Available, Manicure, Pedicure, Personal Trainer, Strollers, Tile / Marble Floor, Ukrainian, Umbrella, Urdu, Valet Parking, Walk-in Shower, Beach Access Looking for a place to stay in Dubai? Then look no further than Rixos Premium Dubai, a luxury hotel that brings the best of Dubai to your doorstep.
Guest rooms offer amenities such as a flat screen TV, air conditioning, and a minibar, and guests can go online with free wifi offered by the hotel.
Rixos Premium Dubai features room service and a concierge, to help make your stay more enjoyable. The property also boasts a pool and breakfast. If you are driving to Rixos Premium Dubai, free parking is available.
Close to some of Dubai's most popular landmarks, such as Flying Cup (0.3 mi) and Dubai Water Canal (0.6 mi), Rixos Premium Dubai is a great destination for tourists.
While in Dubai, you may want to check out some of the restaurants that are a short walk away from Rixos Premium Dubai, including Buddha-Bar (0.7 mi), Barasti Beach Bar (1.0 mi), and Observatory Bar & Grill (0.9 mi).
Best of all, Rixos Premium Dubai makes it easy to experience some great Dubai attractions like The Walk At JBR (0.3 mi), which is a short distance away.
We’re sure you’ll enjoy your stay at Rixos Premium Dubai as you experience everything Dubai has to offer.
"
2,jamalbP4671SO,,,,," About Us
Dirty Al’s has been in operation since 1986 and has always provided the freshest seafood to thousands of visitors from all over the world.
As a family owned and operated business, we have always taken great pride in taking care of each customer and providing them with a unique experience that they can only get from eating at Dirty Al’s. Dirty Al promises every customer that they will only be served the absolute freshest seafood caught in the wild off the Gulf of Mexico.
A Father and his Sons Make a Great Team!
Alfonso Salazar, better known as “Dirty Al” originally started shrimping as a young man with his father and 6 brothers. In 2003, he and his youngest son, Cameron, who graduated from Culinary School, transformed his bait stand into a restaurant where together they have been known for having “The World’s Best Fried Shrimp”! In 2005, his other two sons returned home to help grow the business. To this day, they now own 6 restaurants on beautiful South Padre Island and continue to bring only the “best” Gulf Seafood to each customer’s table."
3,ii7ammody,,,,," About Us
Dirty Al’s has been in operation since 1986 and has always provided the freshest seafood to thousands of visitors from all over the world.
As a family owned and operated business, we have always taken great pride in taking care of each customer and providing them with a unique experience that they can only get from eating at Dirty Al’s. Dirty Al promises every customer that they will only be served the absolute freshest seafood caught in the wild off the Gulf of Mexico.
A Father and his Sons Make a Great Team!
Alfonso Salazar, better known as “Dirty Al” originally started shrimping as a young man with his father and 6 brothers. In 2003, he and his youngest son, Cameron, who graduated from Culinary School, transformed his bait stand into a restaurant where together they have been known for having “The World’s Best Fried Shrimp”! In 2005, his other two sons returned home to help grow the business. To this day, they now own 6 restaurants on beautiful South Padre Island and continue to bring only the “best” Gulf Seafood to each customer’s table."
4,carol76500,"Edgewood, Maryland",,,," Salalah's best hangout venue. Casual Restaurant/Pub setting with amazing food (including the best steaks in town) and a wide selection of beers, wines, and spirits. Beautiful views of the ocean with both inside seating and an amazing outside terrace seating area."
5,magednour,"Dubai, Emirate of Dubai",,,,"Internet, Room service, Free Internet, Free parking, Restaurant, Public Wifi, Free Wifi, Breakfast included, Non-smoking rooms, Air conditioning, Flatscreen TV, Breakfast Buffet, Arabic, Kids Activities, Shuttle Bus Service, Suites, Wheelchair access, Airport transportation, Wifi, Paid Internet, Dry Cleaning, Concierge, Family Rooms, Smoking rooms available, Refrigerator in room, Minibar, Non-smoking hotel, Safe, Breakfast Available, Free airport transportation, Housekeeping, Baggage Storage, Bath / Shower, Bridal Suite, Car Hire, Express Check-in / Check-out, Clothes Rack, Desk, English, Filipino, Fishing, 24-Hour Front Desk, Hair Dryer, Hindi, Iron, Seating Area, Shoeshine, Snack Bar, Telephone, Urdu, Wake Up Service / Alarm Clock Diwan al amir hotel located in khasab main road city , five minutes walking from lulu super market , you can stay in our rooms with sea view rooms where you can see the port , diwan al amir hotel offers free breakfast with variety of traditional food , diwan al amir hotel have good location , friendly staff , cleanness and quite rooms , free parking around the hotel , also hotel is arranging sea trips and mountain safari ."
6,789sarahlou72,"Birmingham, West Midlands, England",,,, Middle Eastern Food in our special way.
7,489johnc489,,,,,"Pool, Internet, Beachfront, Shuttle Bus Service, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Accessible rooms, Minibar, Conference Facilities, Babysitting, Non-smoking hotel, Safe, Swimup Bar, Flatscreen TV, Breakfast Buffet, Poolside Bar, Butler Service, Outdoor pool, Private Beaches, Breakfast Available, Parking, Facilities for Disabled Guests, Housekeeping, Sauna, Additional Bathroom, Allergy-free Room, Arabic, ATM On Site, Baggage Storage, Bath / Shower, Bathrobes, Blackout Curtains, Bottled Water, Breakfast in the Room, Car Hire, Clothes Rack, Coffee Shop, Couples Massage, Currency Exchange, Doorperson, English, Entertainment Staff, Facial Treatments, Filipino, Fitness Classes, Fitness / Spa Locker Rooms, Foot Massage, Free Private Parking Nearby, Complimentary Instant Coffee, Complimentary Toiletries, French, 24-Hour Front Desk, Full Body Massage, German, Hair Dryer, Hammam, Head Massage, Hindi, Iron, Ironing Service, Kid-Friendly Buffet, Laptop Safe, Massage, Newspaper, Nightclub / DJ, Pool / Beach Towels, Pool with View, Portuguese, Paid Private Parking On-site, Paid Private Parking Nearby, Paid Public Parking Nearby, Paid Public Parking On-site, Russian, Salon, 24-Hour Security, Secured Parking, Shoeshine, Shops, Snack Bar, Soundproof Rooms, Steam Room, Sun Loungers / Beach Chairs, Sun Umbrellas, Taxi Service, Turkish, VIP Room Facilities, Wake Up Service / Alarm Clock, Wine / Champagne, Kids pool, Air Purifier, Children's Playground, Electric Kettle, First Aid Kit, Highchairs Available, Manicure, Pedicure, Personal Trainer, Strollers, Tile / Marble Floor, Ukrainian, Umbrella, Urdu, Valet Parking, Walk-in Shower, Beach Access Looking for a place to stay in Dubai? Then look no further than Rixos Premium Dubai, a luxury hotel that brings the best of Dubai to your doorstep.
Guest rooms offer amenities such as a flat screen TV, air conditioning, and a minibar, and guests can go online with free wifi offered by the hotel.
Rixos Premium Dubai features room service and a concierge, to help make your stay more enjoyable. The property also boasts a pool and breakfast. If you are driving to Rixos Premium Dubai, free parking is available.
Close to some of Dubai's most popular landmarks, such as Flying Cup (0.3 mi) and Dubai Water Canal (0.6 mi), Rixos Premium Dubai is a great destination for tourists.
While in Dubai, you may want to check out some of the restaurants that are a short walk away from Rixos Premium Dubai, including Buddha-Bar (0.7 mi), Barasti Beach Bar (1.0 mi), and Observatory Bar & Grill (0.9 mi).
Best of all, Rixos Premium Dubai makes it easy to experience some great Dubai attractions like The Walk At JBR (0.3 mi), which is a short distance away.
We’re sure you’ll enjoy your stay at Rixos Premium Dubai as you experience everything Dubai has to offer.
"
8,147mandyb,"Tamworth, Staffordshire, England",,,," Salalah's best hangout venue. Casual Restaurant/Pub setting with amazing food (including the best steaks in town) and a wide selection of beers, wines, and spirits. Beautiful views of the ocean with both inside seating and an amazing outside terrace seating area."
9,jonalyn531,Emirate of Dubai,,,," Following good traditions, Lucia’s proposes a dining experience that lives in the traditional past, but is also enjoyed by today’s modern diner who also seeks a taste a of the past."
10,Z6810IWcarols,"Newcastle upon Tyne, Tyne and Wear, England",,,," At Ocean Basket Jazan you'll find friendly people, a home-from-home feeling and great value for your hard-earned bucks."
