user_id,username,location,age,gender,preferences
1,113ayeaye,"Dubai, Emirate of Dubai",,,"conference facilities, luxury city, non-smoking rooms, smart luxury traveller, design, accessible rooms, wheelchair access, conrad dubai, vip room facilities, safe, dubai, flatscreen tv, interconnected room(s) available, residence, meeting rooms, multilingual staff, desk, luxury traveller"
2,jamalbP4671SO,,,,"accessible rooms, italian, massage, laptop safe, wine / champagne, residence, couples massage, spa, full body massage, luxury traveller, english, smart luxury traveller, allergy-free room, executive lounge access, bridal suite, outdoor pool, interconnected room(s) available, facial treatments, luxury city, head massage, soundproof rooms, 24-hour check-in, suites, pool, internet, arabic, multilingual staff, safe, electric kettle, private check-in / check-out, concierge, iron, foot massage, blackout curtains, filipino, bidet, heated pool, hammam, chinese, desk, poolside bar"
3,ii7ammody,,,,"world-class shopping destinations, accessible rooms, smart luxury traveller, interconnected room(s) available, multilingual staff"
4,carol76500,"Edgewood, Maryland",,,"concierge, suites, english, smart luxury traveller, design, accessible rooms, bidet, interconnected room(s) available, residence, safe, multilingual staff, desk, luxury traveller"
5,magednour,"Dubai, Emirate of Dubai",,,"non-smoking rooms, accessible rooms, breakfast buffet, italian, sauna, residence, couples massage, spa, english, smart luxury traveller, executive lounge access, poolside bar, conrad dubai, bridal suite, family rooms, outdoor pool, interconnected room(s) available, breakfast available, luxury city, soundproof rooms, suites, pool, multilingual staff, safe, electric kettle, concierge, design, outdoor dining area, filipino, dubai, bidet, heated pool, hammam, chinese, desk, luxury traveller, breakfast in the room"
6,789sarahlou72,"Birmingham, West Midlands, England",,,"entertainment staff, pool, taxi service, beach access, outdoor pool, outdoor pools, holiday"
7,489johnc489,,,,"breakfast buffet, gastronomy, sauna, car hire, laundry service, airport transportation, relaxation, free internet, spa, cable / satellite tv, sun loungers / beach chairs, entertainment staff, fitness classes, conference facilities, suites, salon, as well as international gastronomy., expo, internet, water park, arabic, albania, restaurant, filipino, free wifi, friends, 24-hour security, children's playground, poolside bar, the riu classic hotels offer comfortable rooms and excellent facilities with great leisure and relaxation facilities, snack bar, wifi, flatscreen tv, slides, sun umbrellas, deira islands, all inclusive 24h hotel riu dubai, the hotel has 787 comfortably furnished rooms with free wifi and offers many amenities., riuland kids' club, pool, meeting rooms, safe, electric kettle, day and evening entertainment, taxi service, italian and lebanese specialty restaurants; 6 bars, additional bathroom, beach access, splash water world, non-smoking rooms, hair dryer, family, holiday, english, partner, outdoor pool, beachfront, telephone, private balcony, waterslide, seating area, highchairs available, kids activities, bar/lounge, private bathrooms, parking, water sport equipment rentals, riuland, sun terrace, dry cleaning, housekeeping, kids club, children’s pools, pool / beach towels, massage, wheelchair access, burj khalifa, kids pool, sofa, separate living room, swimup bar, 24-hour front desk, air conditioning, fitness, fitness center, dining area, business center, wardrobe / closet, sofa bed, bath / shower, evening entertainment, free parking, concierge, dia, dubai, fitness / spa locker rooms, babysitting, minibar, desk"
8,147mandyb,"Tamworth, Staffordshire, England",,,"the hotel has 787 comfortably furnished rooms with free wifi and offers many amenities., the riu classic hotels offer comfortable rooms and excellent facilities with great leisure and relaxation facilities, children’s pools, gastronomy, kids activities, as well as international gastronomy., pool, dining area, water park, kids pool, outdoor pools"
9,jonalyn531,Emirate of Dubai,,,"the riu classic hotels offer comfortable rooms and excellent facilities with great leisure and relaxation facilities, non-smoking rooms, snack bar, flatscreen tv, family, sauna, burj khalifa, sofa, sun umbrellas, relaxation, holiday, spa, separate living room, english, sun loungers / beach chairs, entertainment staff, swimup bar, 24-hour front desk, partner, outdoor pool, beachfront, private balcony, seating area, suites, pool, salon, bar/lounge, internet, sofa bed, bath / shower, restaurant, outdoor pools, safe, electric kettle, evening entertainment, concierge, dia, outdoor dining area, filipino, day and evening entertainment, sun terrace, beach access, minibar, desk, poolside bar"
10,Z6810IWcarols,"Newcastle upon Tyne, Tyne and Wear, England",,,"the riu classic hotels offer comfortable rooms and excellent facilities with great leisure and relaxation facilities, non-smoking rooms, family, separate living room, 24-hour front desk, partner, outdoor pool, beachfront, private balcony, seating area, suites, dining area, bath / shower, safe, electric kettle, concierge, outdoor dining area, dia, filipino, day and evening entertainment, additional bathroom, sun terrace, friends, desk"
11,HeyRaeHey,"San Francisco, California",,,"accessible rooms, banquet room, pool with view, executive lounge access, family rooms, interconnected room(s) available, hyatt regency, suites, rooftop terrace, landmark view, dynamic cities, dubai grand hyatt, multilingual staff, safe, private check-in / check-out, concierge, bidet, dynamic energy, hammam, desk"
12,Pattyrowlightly,"Charleston, South Carolina",,,"shangri-la dubai, express check-in / check-out, accessible rooms, non-smoking rooms, pool / beach towels, pool with view, laptop safe, wifi, flatscreen tv, foot bath, bottled water, hot tub, sun umbrellas, wine / champagne, wake up service / alarm clock, free internet, duba, sun loungers / beach chairs, english, executive lounge access, rooftop pool, 24-hour front desk, family rooms, outdoor pool, air conditioning, interconnected room(s) available, breakfast available, public wifi, hyatt regency, soundproof rooms, suites, pool, butler service, landmark view, vip room facilities, bar/lounge, internet, complimentary instant coffee, dynamic cities, doorperson, dubai grand hyatt, bath / shower, multilingual staff, private bathrooms, safe, electric kettle, private check-in / check-out, concierge, asian-inspired dining options and a pool offering unobstructed views of the burj khalifa complete the experience., blackout curtains, walk-in shower, free wifi, indoor pool, additional bathroom, dubai, bidet, radio, heated pool, dynamic energy, hammam, body wrap, desk"
13,Safari593592,,,,"shangri-la dubai, non-smoking rooms, breakfast buffet, accessible rooms, whirlpool bathtub, pool with view, wheelchair access, wifi, flatscreen tv, wine / champagne, duba, executive lounge access, rooftop pool, outdoor pool, interconnected room(s) available, coffee / tea maker, breakfast available, rooftop bar, rooftop terrace, vip room facilities, bar/lounge, internet, dynamic cities, bath / shower, multilingual staff, safe, private check-in / check-out, concierge, asian-inspired dining options and a pool offering unobstructed views of the burj khalifa complete the experience., additional bathroom, indoor pool, dubai, radio, heated pool, dynamic energy, breakfast in the room"
14,ferzendes2024,,,,"breakfast buffet, accessible rooms, dynamic energy, interconnected room(s) available, multilingual staff, breakfast available"
15,Z2818RZalia,,,,"breakfast buffet, accessible rooms, dynamic energy, interconnected room(s) available, restaurant, multilingual staff, breakfast available, breakfast in the room"
16,Daniyall_G,"West Midlands, England",,,"hand massage, tennis court off-site, nightclub / dj, breakfast buffet, sauna, laundry service, bottled water, wine / champagne, airport transportation, a stunning landmark hotel in a distinctive pyramid shape merges asian style with an egyptian aesthetic., free internet, full body massage, spa, cable / satellite tv, sun loungers / beach chairs, executive lounge access, complimentary toiletries, fitness classes, happy hour, coffee / tea maker, public wifi, wafi mall, conference facilities, suites, outdoor furniture, baggage storage, private balconies, rooftop terrace, salon, pedicure, internet, complimentary instant coffee, arabic, restaurant, special diet menus, blackout curtains, walk-in shower, free wifi, urdu, heated pool, hindi, poolside bar, bathrobes, banquet room, laptop safe, wifi, flatscreen tv, like a lotus, extra long beds, shopping, brilliant contemporary interiors, interconnected room(s) available, newspaper, 24-hour check-in, pool, sun deck, safe, meeting rooms, electric kettle, taxi service, additional bathroom, afrikaans, steam room, breakfast in the room, ipod docking station, non-smoking rooms, accessible rooms, hair dryer, hot tub, couples massage, english, free wifi in the business center, bridal suite, outdoor pool, room service, telephone, facial treatments, private balcony, seating area, tile / marble floor, butler service, bar/lounge, doorperson, private bathrooms, parking, kids' outdoor play equipment, private check-in / check-out, photo copier / fax in business center, outdoor dining area, sun terrace, dry cleaning, radio, shops, housekeeping, first aid kit, neck massage, express check-in / check-out, pool / beach towels, massage, children's television networks, wheelchair access, wake up service / alarm clock, ironing service, refrigerator in room, swimup bar, air conditioning, coffee shop, breakfast available, head massage, rooftop bar, pool view, soundproof rooms, fitness center, business center, vip room facilities, personal trainer, wardrobe / closet, bath / shower, multilingual staff, manicure, concierge, iron, foot massage, smoking rooms available, dubai, french, free wired internet in the business center, raffles dubai, fitness / spa locker rooms, complimentary tea, entertainment and clubbing options, minibar, desk"
17,WD87,"Dubai, Emirate of Dubai",,,"suites, non-smoking rooms, accessible rooms, outdoor dining area, private balconies, executive lounge access, business center, like a lotus, interconnected room(s) available, restaurant, safe, multilingual staff, private check-in / check-out, seating area"
18,596prasadt,,,,"taxi service, dubai, raffles dubai, interconnected room(s) available, multilingual staff, safe"
19,raghup691,,,,"interconnected room(s) available, safe, like a lotus"
20,Zed2424,"Leicester, Leicestershire, England",,,"rixos marina abu dhabi, breakfast buffet, gastronomy, accessible rooms, banquet room, pool with view, umbrella, foot bath, turkish, flatscreen tv, like a lotus, hot tub, sun umbrellas, wine / champagne, aquatic and arabesque design, english, poolside bar, leisure, bridal suite, adult pool, family rooms, desk, room service, beachfront, interconnected room(s) available, telephone, indonesian, outdoor pool, private balcony, breakfast available, seating area, pool view, suites, pool, business center, landmark view, internet, personal trainer, doorperson, multilingual staff, meeting rooms, electric kettle, private check-in / check-out, concierge, ambience, romanian, luxor, resort, filipino, aquatic heritage, additional bathroom, sun terrace, french, dubai, bidet, luxury, beach access, hammam, shallow end, dining and hospitality., steam room, breakfast in the room"
21,abdurahmans929,"Riyadh, Riyadh Province",,,"concierge, suites, breakfast buffet, lifestyle, regard me dubai as your ‘lifestyle concierge’, wifi, positive energy, internet, tailored to your personality, serene mood, dubai, delivering bespoke services within your personal space, desk, flowing in appearance, sun terrace, bath / shower, multilingual staff, breakfast available"
22,Getaway46367260035,,,,"non-smoking rooms, wifi, flatscreen tv, art and design, regard me dubai as your ‘lifestyle concierge’, positive energy, geometric structures, tailored to your personality, flowing in appearance, maxibar, delivering bespoke services within your personal space, outdoor pool, lifestyle, seating area, 24-hour check-in, me dubai, bar/lounge, serene mood, private bathrooms, bath / shower, multilingual staff, restaurant, safe, meeting rooms, private check-in / check-out, additional bathroom, dubai"
23,OnAir49634889767,,,,"bathrobes, non-smoking rooms, breakfast buffet, laptop safe, spanish, wifi, wheelchair access, flatscreen tv, burj khalifa, bose sound system, bottled water, hot tub, sun umbrellas, ironing service, opus by omniyat, art and design, english, allergy-free room, regard me dubai as your ‘lifestyle concierge’, positive energy, geometric structures, tailored to your personality, flowing in appearance, 24-hour front desk, delivering bespoke services within your personal space, suburbans, outdoor pool, telephone, lifestyle, breakfast available, seating area, soundproof rooms, 24-hour check-in, suites, me dubai, pool, business center, internet, serene mood, bar/lounge, complimentary instant coffee, organic shapes, arabic, doorperson, private bathrooms, bath / shower, restaurant, multilingual staff, meeting rooms, safe, private check-in / check-out, concierge, iron, blackout curtains, architecture, free wifi, additional bathroom, sun terrace, dubai, minibar, bose, complimentary tea, dame zaha hadid’s signature design, desk"
24,ebraheemh2024,,,,"suites, breakfast buffet, lifestyle, positive energy, tailored to your personality, serene mood, flowing in appearance, delivering bespoke services within your personal space, multilingual staff, chinese, breakfast available"
25,D8575QTnaifa,,,,"concierge, dame zaha hadid’s signature design, suites, non-smoking rooms, breakfast buffet, lifestyle, chinese, positive energy, sun terrace, tailored to your personality, serene mood, flowing in appearance, desk, delivering bespoke services within your personal space, multilingual staff, art and design, breakfast available, seating area"
26,miasC9280JI,"Abu Dhabi, Emirate of Abu Dhabi",,,"design, pool, versace, adult pool, luxury, heated pool, outdoor pool"
27,757cococ,,,,"concierge, suites, design, pool, infinity pool, swimup bar, adult pool, luxury, outdoor pool, poolside bar"
28,607aygula,,,,"design, versace, palazzos, luxury, multilingual staff"
29,manuelay2019,"Los Angeles, California",,,"design, pool, versace, palazzos, adult pool, luxury, outdoor pool, multilingual staff"
30,Sinoevna,"Dubai, Emirate of Dubai",,,"breakfast buffet, design, pool, social events, versace, palazzos, adult pool, palazzo versace dubai is a neoclassical masterpiece with subtle traces of arabian architecture., luxury, outdoor pool, breakfast available, poolside bar"
31,konstantinn894,,,,"spa-style bathrooms, accessible rooms, pool with view, palm jumeirah, sauna, sofa, hot tub, couples massage, luxury hotel, spa, separate living room, russian, sun loungers / beach chairs, outdoor pool, beachfront, interconnected room(s) available, private balcony, breakfast available, seating area, 24-hour check-in, pool view, suites, fitness center, pool, amenities, vip room facilities, bath / shower, multilingual staff, restaurant, meeting rooms, bold colors, concierge, outdoor dining area, escape, smoking rooms available, sun terrace, fitness / spa locker rooms, heated pool, beach access"
32,tomo829,"Warlingham, Surrey, England",,,"breakfast buffet, palm jumeirah, urban-inspired art, bottled water, wine / champagne, free internet, sun loungers / beach chairs, entertainment staff, allergy-free room, happy hour, coffee / tea maker, public wifi, w dubai, suites, outdoor furniture, salon, internet, arabic, restaurant, special diet menus, free wifi, heated pool, poolside bar, spa-style bathrooms, laptop safe, flatscreen tv, sun umbrellas, luxury hotel, family rooms, interconnected room(s) available, 24-hour check-in, pool, amenities, landmark view, meeting rooms, safe, additional bathroom, beach access, breakfast in the room, non-smoking rooms, accessible rooms, pool with view, hot tub, couples massage, english, outdoor pool, beachfront, room service, private balcony, seating area, butler service, kids activities, bar/lounge, doorperson, private bathrooms, bathroom, outdoor dining area, retro details, sun terrace, kids club, pool / beach towels, sofa, separate living room, swimup bar, air conditioning, breakfast available, rooftop bar, pool view, vip room facilities, bath / shower, multilingual staff, bold colors, concierge, escape, smoking rooms available, dubai, babysitting"
33,shauncN5207CZ,,,,"pool / beach towels, palm jumeirah, pool with view, wheelchair access, flatscreen tv, sofa, spa, separate living room, english, entertainment staff, swimup bar, outdoor pool, beachfront, interconnected room(s) available, happy hour, coffee / tea maker, private balcony, public wifi, seating area, w dubai, rooftop bar, pool view, suites, outdoor furniture, pool, amenities, business center, bar/lounge, internet, doorperson, private bathrooms, bath / shower, bold colors, iron, retro details, additional bathroom, dubai, heated pool, beach access, retro design, poolside bar"
34,K2492SQmarinak,,,,"non-smoking rooms, accessible rooms, banquet room, pool with view, palm jumeirah, sofa, hot tub, sun umbrellas, luxury hotel, separate living room, swimup bar, family rooms, beachfront, interconnected room(s) available, private balcony, seating area, pool view, suites, pool, amenities, salon, business center, landmark view, vip room facilities, doorperson, multilingual staff, restaurant, bold colors, concierge, iron, outdoor dining area, retro details, sun terrace, beach access, steam room"
35,826coletteb,,,,"spa-style bathrooms, accessible rooms, pool with view, steam room, sofa, hot tub, couples massage, luxury hotel, spa, separate living room, english, sun loungers / beach chairs, entertainment staff, swimup bar, outdoor pool, beachfront, interconnected room(s) available, private balcony, pet-friendly, seating area, 24-hour check-in, rooftop bar, pool view, suites, w dubai, pool, amenities, butler service, landmark view, vip room facilities, bar/lounge, internet, private bathrooms, bath / shower, restaurant, multilingual staff, bold colors, concierge, outdoor dining area, escape, additional bathroom, sun terrace, dubai, french, heated pool, poolside bar"
36,haneefp2024,,,,"luxor, bar/lounge, arabic, restaurant, multilingual staff, indian heritage"
37,nishad2019km,Oman,,,"accessible rooms, multilingual staff, taj dubai, dubai"
38,Jtnrugsandhome,"Princeton Junction, West Windsor Township, New Jersey",,,"accessible rooms, banquet room, sofa, hot tub, sun umbrellas, executive lounge access, family rooms, suites, salon, landmark view, vip room facilities, internet, taj dubai, multilingual staff, safe, private check-in / check-out, manicure, concierge, luxor, outdoor dining area, sun terrace, dubai, body wrap, desk, steam room"
39,mujeebur2017,"Dubai, Emirate of Dubai",,,"fashionista's paradise, dubai, taj dubai"
40,560nimrits,,,,"restaurant, multilingual staff"
41,Q7449AJfrankies,,,,"rixos, housekeeping, jbr, hotel service, multilingual staff, luxury hotel"
42,med00c,,,,"concierge, hotels, accessible rooms, pool, pool with view, jbr, hotel service, multilingual staff, the property also boasts a pool and breakfast, luxury hotel"
43,reda422,,,,"concierge, rixos, conference facilities, hotels, accessible rooms, pool, pool with view, poolside bar, housekeeping, hotel service, jbr, outdoor pool, multilingual staff, luxury hotel"
44,delarm2024,,,,"hotels, accessible rooms, snack bar, pool with view, massage, umbrella, hotel service, couples massage, spa, luxury hotel, rixos, english, entertainment staff, destinations, room service, jbr, beachfront, soundproof rooms, conference facilities, suites, butler service, salon, pedicure, pool, vip room facilities, internet, bath / shower, multilingual staff, restaurant, meeting rooms, safe, manicure, concierge, additional bathroom, housekeeping, minibar, steam room"
45,222nilufarh,,,,"multilingual staff, safe, hindi, bar/lounge"
